id,person,position_current,source,url,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,connection_trump,connection_trumpally,connection_conservativeagenda,connection_careerprofessional,connection_other,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
40,"John C. Milhiser","U.S. Attorney for the C.D. of Illinois",prosecutor,https://upload.wikimedia.org/wikipedia/commons/d/d6/John_C_Milhiser.jpg,2018/10/31,NA,NA,"United States of America",male,"James Madison University",NA,NA,"University of Illinois",-0.865,36,0,Republican,0,0,0,0,1,NA,NA,NA,NA,NA,NA
41,"Scott Blader","U.S. Attorney for the W.D. of Wisconsin",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Scott_Blader_official_photo.jpg/220px-Scott_Blader_official_photo.jpg,2017/11/22,1974/01/01,46,"Wild Rose",male,"University of Wisconsin-Oshkosh",NA,NA,"Marquette University",-0.502,102,0,Republican,0,0,0,0,1,NA,NA,NA,NA,NA,NA
42,"Matthew Martin","U.S. Attorney for the M.D. of North Carolina",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Matthew_Martin.jpg/220px-Matthew_Martin.jpg,2017/11/09,1979/01/01,41,"Wright-Patterson Air Force Base",male,"University of North Carolina",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
43,"David C. Weiss","U.S. Attorney for the District of Delaware",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Davidweiss.jpg/220px-Davidweiss.jpg,2018/02/22,1956/01/01,64,Philadelphia,male,"Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,None,0,0,1,1,0,NA,NA,NA,NA,NA,NA
44,"William M. McSwain","U.S. Attorney for the E.D. of Pennsylvania",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/William_M._McSwain.jpg/220px-William_M._McSwain.jpg,2018/04/06,1969/01/01,51,Philadelphia,male,"Yale University",NA,NA,"Harvard University",-0.816,1,0,Republican,0,0,1,0,1,NA,NA,1,NA,NA,NA
45,"Gretchen C.F. Shappert",NA,prosecutor,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iC7lWpqE824M/v3/140x140.jpg,NA,NA,NA,NA,NA,"Duke University",NA,NA,"Washington and Lee University",-0.401,29,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
46,"Scott Brady","U.S. Attorney for the W.D. of Pennsylvania",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Scott_Brady_official_photo.jpg/220px-Scott_Brady_official_photo.jpg,2017/12/22,NA,NA,,male,"Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA
47,"Charles Peeler","U.S. Attorney for the M.D. of Georgia",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Charles_E._Peeler.jpg/220px-Charles_E._Peeler.jpg,2017/11/22,1973/01/01,47,Augusta,male,"University of Georgia",NA,NA,"University of Georgia",-0.185,29,0,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA
48,"B.J. Pak",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/BJ_Pak_official_photo.jpg/220px-BJ_Pak_official_photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
49,"Nicola T. Hanna","U.S. Attorney for the C.D. of California",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Nicola_T._Hanna_official_photo.jpg/220px-Nicola_T._Hanna_official_photo.jpg,2018/01/05,1961/09/19,59,,male,"University of California, San Diego",NA,NA,"Georgetown University",-0.821,15,0,Republican,0,0,0,1,0,NA,NA,NA,NA,NA,NA
