Id,person,url,position_current,size,nameTrump
97,"Sherri Lydon",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Sherri_A._Lydon_official_photo.jpg/220px-Sherri_A._Lydon_official_photo.jpg,"U.S. Attorney for the District of South Carolina",0,
98,"Stephen Boyd",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Stephen_E._Boyd_official_photo_2.jpg/220px-Stephen_E._Boyd_official_photo_2.jpg,"Assistant Attorney General for Legislative Affairs",0,
99,"Stephen McAllister",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Stephen_R._McAllister_official_photo.jpg/220px-Stephen_R._McAllister_official_photo.jpg,"U.S. Attorney for the District of Kansas",0,
100,"Steven A. Engel",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Steven_Engel_official_photo.jpg/220px-Steven_Engel_official_photo.jpg,"Assistant Attorney General for the Office of the Legal Counsel",0,
103,"Thomas T. Cullen",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg,"U.S. Attorney for the W.D. of Virginia",0,
104,"Timothy A. Garrison",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Garrison.timothy.jpg/220px-Garrison.timothy.jpg,"U.S. Attorney for the W.D. of Missouri",0,
105,"Timothy J. Downing",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Timothy_Downing.jpg/220px-Timothy_Downing.jpg,"U.S. Attorney for the W.D. of Oklahoma",0,
107,"William C. Lamar",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/William_C._Lamar.jpg/220px-William_C._Lamar.jpg,"U.S. Attorney for the N.D. of Mississippi",0,
108,"William D. Hyslop",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Hyslop-Official-Photo.jpg/220px-Hyslop-Official-Photo.jpg,"U.S. Attorney for the E.D. of Washington",0,
109,"William M. McSwain",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/William_M._McSwain.jpg/220px-William_M._McSwain.jpg,"U.S. Attorney for the E.D. of Pennsylvania",0,
500,"American Center for Law & Justice",https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/ACLJ_logo.jpg/220px-ACLJ_logo.jpg,,1,
501,"Christian Legal Society",https://www.law.uga.edu/sites/default/files/landing_page_slides/cls.jpg,,1,
502,"Federalist Society",https://www.law.berkeley.edu/wp-content/uploads/2018/12/FedSoc.Logo_.Short1_.CMYK_.Blue_.jpg,,32,
503,"Heritage Foundation",https://gtmarket.ru/files/Heritage-Foundation-logo.jpg,,5,
504,"National Rifle Association",https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/National_Rifle_Association_official_logo.svg/220px-National_Rifle_Association_official_logo.svg.png,,4,
505,"Republican National Lawyers Association",https://d3n8a8pro7vhmx.cloudfront.net/rnla/sites/1/meta_images/original/RNLA_Logo.png,,2,
506,"Law Schools",https://www.usnews.com/dims4/USNEWS/8b148bc/2147483647/thumbnail/640x420/quality/85/?url=http%3A%2F%2Fmedia.beam.usnews.com%2F1f%2Fd3a4bb5675c302ba39cbed80c5cd2d%2F31082FE_DA_120725_law-school.jpg,,47,
507,"Law Firms",https://s3-prod.chicagobusiness.com/s3fs-public/styles/width_280/public/ISSUE01-306259998-AR.jpeg,,15,
