person,position_current,connection_trump_all,connection_trump_interviews,connection_trump_campaign,connection_trumpally_all,connection_trumpally_innercircle,connection_trumpally_administration,connection_trumpally_USSenate,connection_trumpally_StateGov,connection_trumpally_RNC,connection_careerprofessional_all,connection_other_all
J. Cody Hiland,U.S. Attorney for the E.D. of Arkansas,,,,1,,,,1,,,
James. P Kennedy,U.S. Attorney for the W.D. of New York,,,,,,,,,,1,
Jason R. Dunn,U.S. Attorney for the District of Colorado,,,,,,,,,,,1
Jay Town,U.S. Attorney for the N.D. of Alabama,,,,1,,,1,,,,
Jefferson B. Sessions,Attorney General,1,1,,,,,,,,,
Jeffrey A. Rosen,Deputy Attorney General,,,,1,,1,,,,,
Jeffrey Bossert Clark,Assistant Attorney General for the Environment and Natural Resources Division,,,,1,,1,,,,,
Jeffrey Jensen,U.S. Attorney for the E.D. of Missouri,,,,,,,,,,1,
Jessie K. Liu,U.S. Attorney for the District of Columbia,1,1,1,,,,,,,,
John Bash,U.S. Attorney for the W.D. of Texas,,,,1,,1,,,,,
John C. Anderson,U.S. Attorney for the District of New Mexico,,,,,,,,,,1,
John C. Demers,Assistant Attorney General for the National Security Division,,,,,,,,,,1,
John C. Milhiser,U.S. Attorney for the C.D. of Illinois,,,,,,,,,,,1
John Durham,U.S. Attorney for the District of Connecticut,,,,,,,,,,1,
John R. Lausch Jr.,U.S. Attorney for the N.D. of Illinois,,,,,,,,,,1,
John W. Huber,U.S. Attorney for the District of Utah,,,,,,,,,,1,
Joseph D. Brown,U.S. Attorney for the E.D. of Texas,,,,,,,,,,,1
Joseph H. Hunt,Assistant Attorney General for the Civil Division,,,,,,,,,,1,
Joseph P. Kelly,U.S. Attorney for the District of Nebraska,,,,,,,,,,,1
Joshua Minkler,U.S. Attorney for the S.D. of Indiana,,,,,,,,,,1,
Justin Herdman,U.S. Attorney for the N.D. of Ohio,,,,,,,,,,1,
Kenji M. Price,U.S. Attorney for the District of Hawaii,,,,,,,,,,,1
Kurt Alme,U.S. Attorney for the District of Montana,,,,,,,,,,1,
Larry Keefe,U.S. Attorney for the N.D. of Florida,,,,,,,,,,,1
Louis V. Franklin Sr.,U.S. Attorney for the M.D. of Alabama,,,,,,,,,,1,
Makan Delrahim,Assistant Attorney General for the Antitrust Division,1,,1,,,,,,,,
Marc Krickbaum,U.S. Attorney for the S.D. of Iowa,,,,,,,,,,1,
Maria Chapa Lopez,U.S. Attorney for the M.D. of Florida,,,,,,,,,,1,
Mark Klassen,U.S. Attorney for the District of Wyoming,,,,,,,,,,1,
Matthew J. Schneider,U.S. Attorney for the E.D. of Michigan,,,,,,,,,,1,
Matthew Krueger,U.S. Attorney for the E.D. of Wisconsin,,,,,,,,,,,1
Matthew Martin,U.S. Attorney for the M.D. of North Carolina,,,,,,,,,,,1
McGregor W. Scott,U.S. Attorney for the E.D. of California,,,,,,,,,,1,
Michael B. Stuart,U.S. Attorney for the S.D. of West Virginia,1,,1,,,,,,,,
Michael G. Bailey,U.S. Attorney for the District of Arizona,,,,,,,,,,,1
Michael Sherwin,U.S. Attorney for the District of Columbia,1,1,,,,,,,,,
Nicholas A. Trutanich,U.S. Attorney for the District of Nevada,,,,,,,,,,1,
Nicola T. Hanna,U.S. Attorney for the C.D. of California,,,,,,,,,,1,
Noel Francisco,Principal Deputy Solicitor General,,,,1,,1,,,,,
Peter Deegan,U.S. Attorney for the N.D. of Iowa,,,,,,,,,,1,
Peter G. Strasser,U.S. Attorney for the E.D. of Louisiana,,,,,,,,,,1,
Peter M. McCoy Jr.,U.S. Attorney for the District of South Carolina,,,,,,,,,,,
R. Andrew Murray,U.S. Attorney for the W.D. of North Carolina,,,,,,,,,,,1
R. Trent Shores,U.S. Attorney for the N.D. of Oklahoma,,,,,,,,,,1,
Rachel L. Brand,Associate Attorney General,,,,,,,,,,,1
Richard Donoghue,U.S. Attorney for the E.D. of New York,1,1,,,,,,,,,
Richard W. Moore,U.S. Attorney for the S.D. of Alabama,,,,,,,,,,1,
Robert Higdon Jr.,U.S. Attorney for the E.D. of North Carolina,,,,,,,,,,1,
Robert K. Hur,U.S. Attorney for the District of Maryland,,,,1,,1,,,,,
Robert M. Duncan Jr.,U.S. Attorney for the E.D. of Kentucky,,,,1,,,,,1,,
Robert S. Brewer Jr.,U.S. Attorney for the S.D. of California,,,,,,,,,,,1
Rod J. Rosenstein,Deputy Attorney General,,,,,,,,,,1,
Ron A. Parsons Jr.,U.S. Attorney for the District of South Dakota,,,,,,,,,,,1
Russell Coleman,U.S. Attorney for the W.D. of Kentucky,,,,1,,,1,,,,
Ryan Patrick,U.S. Attorney for the S.D. of Texas,,,,1,,,,1,,,
Scott Blader,U.S. Attorney for the W.D. of Wisconsin,,,,,,,,,,,1
Scott Brady,U.S. Attorney for the W.D. of Pennsylvania,,,,,,,,,,,1
Scott W. Murray,U.S. Attorney for the District of New Hampshire,,,,,,,,,,,1
Shawn N. Anderson,U.S. Attorney for the District of Guam & Northern Mariana Islands,,,,,,,,,,1,
Sherri Lydon,U.S. Attorney for the District of South Carolina,,,,,,,,,,,1
Stephen Boyd,Assistant Attorney General for Legislative Affairs,,,1,1,1,,,,,,
Stephen McAllister,U.S. Attorney for the District of Kansas,,,,,,,,,,,1
Steven A. Engel,Assistant Attorney General for the Office of the Legal Counsel,1,,1,,,,,,,,
Steven D. Weinhoeft,U.S. Attorney for the S.D. of Illinois,,,,,,,,,,1,
Thomas Kirsch,U.S. Attorney for the N.D. of Indiana,,,,,,,,,,1,
Thomas T. Cullen,U.S. Attorney for the W.D. of Virginia,,,,1,1,,,,,,
Timothy A. Garrison,U.S. Attorney for the W.D. of Missouri,,,,,,,,,,1,
Timothy J. Downing,U.S. Attorney for the W.D. of Oklahoma,,,,,,,,,,1,
W. Stephen Muldrow,U.S. Attorney for the District of Puerto Rico,,,,,,,,,,1,
William C. Lamar,U.S. Attorney for the N.D. of Mississippi,,,,,,,,,,1,
William D. Hyslop,U.S. Attorney for the E.D. of Washington,,,,,,,,,,1,
William M. McSwain,U.S. Attorney for the E.D. of Pennsylvania,,,,,,,,,,,1
William P. Barr,Attorney General,1,1,,,,,,,,,
William Powell,U.S. Attorney for the N.D. of Virginia,,,,,,,,,,,1
