agency_name,position_title,attorney,title,employer,Firm conservative score,start_date,end_date
Justice,Attorney General,William P. Barr,Exec VP / General Counsel,Gte Corp,,1997,2000
Justice,Attorney General,William P. Barr,Senior VP / General Counsel,Gte Corp,,1994,1997
Justice,Attorney General,Jefferson B. Sessions,Attorney,Guin Bouldin & Porch,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Harborview Capital Partners LLC,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,"HCA, Inc",,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Henkel Corporation,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,Herbert Vederman,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,Member of the Board of Directors,Historical Society of the District of Columbia,,2017,
Justice,Attorney General,William P. Barr,Board Member,Holcim US Inc,,2008,2013
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,HSBC Holdings PLC,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Huntington Acquisition 1 LLC,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),"ICON Health & Fitness, Inc.",,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,International Business Machines Corporation,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,J. Jay Lobell,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Jacob Khobian,,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,"legal services to firm clients, management of Government Regulations Group",Jones Day LLP,-0.213,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,Of Counsel,Jones Day LLP,-0.213,2005,2008
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Partner,Jones Day LLP,-0.213,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Partner,Jones Day LLP,-0.213,,
Justice,Principal Deputy Solicitor General,Noel Francisco,Partner,Jones Day LLP,-0.213,2017,
Justice,Principal Deputy Solicitor General,Noel Francisco,Partner,Jones Day LLP,-0.213,2008,2017
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Partner at Jones Day,Jones Day LLP,-0.213,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Karma Automotive LLC,,2017,
Justice,Deputy Attorney General,Rod J. Rosenstein,Partner,King & Spalding LLP,-0.097,2020,
Justice,Assistant Attorney General for the Civil Division,Joseph H. Hunt,Partner,King & Spalding LLP,-0.097,,1999
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Associate,Kirkland & Ellis LLP,,2006,2010
,,Jeffrey A. Rosen,Attorney,Kirkland & Ellis LLP,-0.363,1982,2003
Justice,Assistant Attorney General for the Environment and Natural Resources Division,Jeffrey Bossert Clark,I am a law firm partner at Kirkland & Ellis LLP LLP.,Kirkland & Ellis LLP,-0.363,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,Kirkland & Ellis LLP,-0.363,2017,
Justice,Assistant Attorney General for the Environment and Natural Resources Division,Jeffrey Bossert Clark,legal services,Kirkland & Ellis LLP,-0.363,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Partner,Kirkland & Ellis LLP,-0.363,2017,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Partner,Kirkland & Ellis LLP,-0.363,2010,2017
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Partner,Kirkland & Ellis LLP,-0.363,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Partner,Kirkland & Ellis LLP,-0.363,,
,,Jeffrey A. Rosen,Partner,Kirkland & Ellis LLP,-0.363,,
Justice,Assistant Attorney General for the Environment and Natural Resources Division,Jeffrey Bossert Clark,Partner,Kirkland & Ellis LLP,-0.363,,
Justice,Assistant Attorney General for the Environment and Natural Resources Division,Jeffrey Bossert Clark,Partner,Kirkland & Ellis LLP,-0.363,,
,,Jeffrey A. Rosen,Senior Partner,Kirkland & Ellis LLP,-0.363,2009,2017
Justice,Attorney General,William P. Barr,Of Counsel,Kirkland & Ellis LLP,-0.363,2017,2019
Justice,Attorney General,William P. Barr,Of Counsel,Kirkland & Ellis LLP,-0.363,2009,2009
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Koninklijke Ahold,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,"Legacy Cabinets, Inc.",,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Lindsay Rosenwald,,2017,
Justice,Associate Attorney General,Rachel L. Brand,"Member, Board of Directors",Little Falls Presbyterian Foundation,,2017,2018
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,Loma Linda University Adventist Health Sciences,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),McDonald's Corporation,,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Medical Device Manufacturers Association,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Mentor Network,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Meridian Capital Group,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Mustang Therapeutics,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),National Railway Labor Conference,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,NDG Financial,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,New York City Patrolmen's Benevolent Association,,2017,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Nord Capital Advisors,,2017,
Justice,Attorney General,William P. Barr,Board Member,Och-Ziff Capital Management Group LLC,,2016,2018
Justice,Assistant Attorney General for the Civil Division,Joseph H. Hunt,Senior Advisor,Office of Legal Policy,,2017,2018
Justice,Assistant Attorney General for the Civil Division,Joseph H. Hunt,Chief of Staff,Office of the United States Attorney General,,2017,2017
Justice,Assistant Attorney General for the Civil Division,Joseph H. Hunt,Director Federal Programs Branch,Office of the United States Deputy Attorney General,,2002,
Justice,Assistant Attorney General for the Civil Division,Joseph H. Hunt,,Office of the United States Deputy Attorney General,,2001,2002
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,Papersource Manufacturing & Converting,,2017,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Associate,Patton Boggs LLP,-0.279,1995,1998
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Agent,Paulding LLC,,2018,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Agent,Paulding LLC,,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Adjunct Professor,Pepperdine University School of Law,,2011,
