District,Attorney,Wikidata ID,Political Affiliation,Federalist Society tie,Heritage Foundation tie,National Rifle Association tie,American Center for Law and Justice tie,Republican National Lawyers Association tie,Christian Legal Society (Bar Association) tie,Other
U.S. Attorney for the E.D. of Louisiana,Peter G. Strasser,Q55238029,,,,,,,,
U.S. Attorney for the District of Maine,Halsey Frank,Q39064553,,,,,,,,
U.S. Attorney for the District of Maryland,Robert K. Hur,Q48675953,,1,,,,,,Served as Assistant / Counsel to Christopher Wrey (Director of FBI - 2017-Present)
U.S. Attorney for the District of Massachusetts,Andrew Lelling,Q42310535,Republican,1,,,,,,Based on donations he has made to Republican national political campaigns
U.S. Attorney for the E.D. of Michigan,Matthew J. Schneider,Q55238025,,1,,,,,,"In April 2020, U.S. Attorney General William Barr appointed Schneider to lead the effort to examine state and local emergency restrictions that had been imposed in response to the 2019–20 coronavirus pandemic."
U.S. Attorney for the District of Minnesota,Erica MacDonald,Q51741273,Republican,,,,,,,
U.S. Attorney for the E.D. of Missouri,Jeffrey Jensen,Q39505579,,,,,,,,
U.S. Attorney for the W.D. of Missouri,Timothy A. Garrison,Q48926405,Republican,1,,,,1,,RNLA Member (2006-2013)
U.S. Attorney for the District of Montana,Kurt Alme,Q40342099,Republican,,,,,,,
U.S. Attorney for the District of Nebraska,Joseph P. Kelly,Q48977188,Republican,,,,,,,
U.S. Attorney for the District of Nevada,Nicholas A. Trutanich,Q55584805,Democrat,,,,,,,
U.S. Attorney for the District of New Hampshire,Scott W. Murray,Q45914636,Republican,,,,,,,
U.S. Attorney for the District of New Mexico,John C. Anderson,Q48743453,Republican,,,,,,,Served as General Counsel to the Republican Party of New Mexico 
U.S. Attorney for the E.D. of North Carolina,Robert Higdon Jr.,Q41536729,,,,,,,,
U.S. Attorney for the M.D. of North Carolina,Matthew Martin,Q43380464,Republican,,,,,,,
U.S. Attorney for the W.D. of North Carolina,R. Andrew Murray,Q42319382,Republican,,,,,,,
U.S. Attorney for the District of North Dakota,Drew Wrigley,Q5307301,Republican,,,1,,,,
U.S. Attorney for the N.D. of Ohio,Justin Herdman,Q30519351,,1,,,,,,
U.S. Attorney for the S.D. Ohio,David M. DeVillers,Q66448890,Republican,,,,,,,Prosecutor Advisor to the Iraqi High Tribunal during the 2005 trial of Saddam Hussein
U.S. Attorney for the E.D. of Oklahoma,Brian Kuester,Q32034550,Republican,,,,,,,
U.S. Attorney for the N.D. of Oklahoma,R. Trent Shores,Q40460795,Republican,1,,,,,,
U.S. Attorney for the W.D. of Oklahoma,Timothy J. Downing,Q61941673,Republican,1,,,,,,
U.S. Attorney for the District of Oregon,Billy J. Williams,Q48471887,Republican,,,,,,,
U.S. Attorney for the M.D. of Pennsylvania,David Freed,Q5233835,Republican,,,,,,,
U.S. Attorney for the W.D. of Pennsylvania,Scott Brady,Q48740794,,,,,,,,"Invovled in the Trump - Ukraine Scandal,  involved in Guiliani probe"
U.S. Attorney for the E.D. of Pennsylvania,William M. McSwain,Q48688244,Republican,1,,,,,,
U.S. Attorney for the District of Puerto Rico,W. Stephen Muldrow,Q64747678,,,,,,,,
U.S. Attorney for the District of Rhode Island,Aaron L. Weisman,Q58008030,Republican,,,,,,,
U.S. Attorney for the District of South Carolina,Sherri Lydon,Q51858469,None,,,,,,,
U.S. Attorney for the District of South Carolina,Peter M. McCoy Jr.,Q87001091,Republican,,,1,,,,member of the South Carolina House of Representatives from 2011 to 2020 (member of the SC House Judiciary Committee)
U.S. Attorney for the District of South Dakota,Ron A. Parsons Jr.,Q33633456,Republican,,,,,,,
U.S. Attorney for the E.D. of Tennessee,Doug Overbey,Q5300793,Republican,,,,,,,member of Tennessee House of Representatives from 2000 to 2008
U.S. Attorney for the M.D. of Tennessee,Donald Q. Cochran,Q38946601,,1,,,,,,
U.S. Attorney for the W.D. of Tennessee,D. Michael Dunavant,Q30453230,None,,,,,,,
U.S. Attorney for the E.D. of Texas,Joseph D. Brown,Q47499109,Republican,,,1,,,,
U.S. Attorney for the N.D. of Texas,Erin Nealy Cox,Q45713701,None,1,,,,,,
U.S. Attorney for the S.D. of Texas,Ryan Patrick,Q46303027,Republican,1,,,,,1,
U.S. Attorney for the W.D. of Texas,John Bash,Q42331379,,1,,,,,,
U.S. Attorney for the District of Utah,John W. Huber,Q30529752,,,,,,,,
U.S. Attorney for the District of Vermont,Christina E. Nolan,Q45714460,None,,,,,,,
U.S. Attorney for the E.D. of Virginia,G. Zachary Terwilliger,Q55584793,,1,,,,,,"During 2015-2016, he served as counsel to Senate Judiciary Chairman Chuck Grassley"
U.S. Attorney for the W.D. of Virginia,Thomas T. Cullen,Q48926392,None,1,,,,1,,Son of Lawyer of VP Mike Pence ( investigation into Russia’s influence on the 2016 presidential election)
U.S. Attorney for the E.D. of Washington,William D. Hyslop,Q63700125,,,,,,,,"Served as United States Attorney for the Eastern District of Washington from 1991 to 1993, having been appointed by President George H.W. Bush, at the same time current U.S. Attorney General William Barr served the same role under Bush. Hyslop is working under the same boss."
U.S. Attorney for the W.D. of Washington,Brian T. Moran,Q53063726,,,,,,,,
U.S. Attorney for the N.D. of West Virginia,William Powell,Q43381318,None,,,1,,,,
U.S. Attorney for the S.D. of West Virginia,Michael B. Stuart,Q42346740,Republican,,,,,,,Served as Trump's former West Virginia campaign chairman
U.S. Attorney for the E.D. of Wisconsin,Matthew Krueger,Q47484556,Republican,1,,,,,,
U.S. Attorney for the W.D. of Wisconsin,Scott Blader,Q42353365,Republican,,,,,,,
U.S. Attorney for the District of Wyoming,Mark Klaassen,Q42351529,,,,,,,,
U.S. Attorney for the E.D. of New York,Richard Donoghue,,,,,,,,,
U.S. Attorney for the N.D. of New York,Grant C. Jaquith,,,,,,,,,
U.S. Attorney for the S.D. of New York,Geoffrey Berman,,Republican,1,,,,,,
U.S. Attorney for the W.D. of New York,James. P Kennedy,,Independent,,,,,,,
U.S. Attorney for the District of New Jersey,Craig Carpenito,,,,,,,,,
U.S. Attorney for the W.D. of Arkansas,Clay Fowlkes,,,,,,,,,
U.S. Attorney for the District of Columbia,Michael Sherwin,,,,,,,,,
U.S. Attorney for the District of Guam & Northern Mariana Islands,Shawn N. Anderson,,,,,,,,,
U.S. Attorney for the S.D. of Illinois,Steven D. Weinhoeft,,,,,,,,,
U.S. Attorney for the W.D. of Michigan,Andrew B. Birge,,,,,,,,,
U.S. Attorney for the N.D. of Mississippi,William C. Lamar,,,,,,,,,
U.S. Attorney for the S.D. of Mississippi,D. Michael Hurst Jr.,,Republican,,,,,,,
U.S. Attorney for the District of Virgin Islands,Gretchen C.F. Shappert,,,1,,,,,,
