item,itemLabel,educated_at,educated_atLabel,degree,graduated,law rank,law conservative score,undergrad rank,notes
http://www.wikidata.org/entity/Q41593180,Thomas Kirsch,http://www.wikidata.org/entity/Q49122,Harvard University,JD,1999,1,-0.816,,
http://www.wikidata.org/entity/Q42331379,John Bash,http://www.wikidata.org/entity/Q49122,Harvard University,JD,2006,1,-0.816,,
http://www.wikidata.org/entity/Q48688244,William M. McSwain,http://www.wikidata.org/entity/Q49122,Harvard University,JD,2000,1,-0.816,,
http://www.wikidata.org/entity/Q30508807,Louis V. Franklin Sr.,http://www.wikidata.org/entity/Q5921126,Howard University,JD,1987,148,-1.17,,
http://www.wikidata.org/entity/Q39515420,Joshua Minkler,,Indiana University Bloomington,JD,1988,115,-0.713,,
http://www.wikidata.org/entity/Q42353365,Scott Blader,http://www.wikidata.org/entity/Q6772633,Marquette University,JD,1999,102,-0.502,,
http://www.wikidata.org/entity/Q44532195,John R. Lausch Jr.,http://www.wikidata.org/entity/Q7060409,Northwestern University,JD,1996,8,-0.839,,
http://www.wikidata.org/entity/Q42351529,Mark Klaassen,http://www.wikidata.org/entity/Q7063457,University of Notre Dame,JD,1998,21,-0.196,,
,Michael Sherwin,,University of Notre Dame,JD,,21,-0.196,,
http://www.wikidata.org/entity/Q54951622,Ariana Fajardo Orshan,http://www.wikidata.org/entity/Q1798499,Nova Southeastern University,JD,,157,-0.224,,
http://www.wikidata.org/entity/Q48673968,Brandon J. Fremin,http://www.wikidata.org/entity/Q7152118,Louisiana State University,JD,,102,0.278,,
http://www.wikidata.org/entity/Q48926975,David C. Joseph,http://www.wikidata.org/entity/Q7152118,Louisiana State University,JD,2003,102,0.278,,
http://www.wikidata.org/entity/Q61941673,Timothy J. Downing,,Regent University,JD,,102,0.264,,
http://www.wikidata.org/entity/Q87001091,Peter M. McCoy Jr.,,Regent University,JD,2005,102,0.264,,
http://www.wikidata.org/entity/Q39505579,Jeffrey Jensen,http://www.wikidata.org/entity/Q7401683,Saint Louis University,JD,,92,-0.752,,
http://www.wikidata.org/entity/Q61750281,Michael G. Bailey,http://www.wikidata.org/entity/Q7416583,University of Arizona,JD,1990,29,-0.776,,
http://www.wikidata.org/entity/Q53063726,Brian T. Moran,,Seattle University,JD,1987,102,-0.938,,
http://www.wikidata.org/entity/Q32178229,Jay Town,,Seton Hall University School of Law,JD,1998,64,-0.467,,
,Craig Carpenito,,Seton Hall University School of Law,JD,2000,64,-0.467,,
http://www.wikidata.org/entity/Q46303027,Ryan Patrick,,South Texas College of Law,JD,2006,148,-0.08,,
http://www.wikidata.org/entity/Q53062078,Maria Chapa Lopez,http://www.wikidata.org/entity/Q7568638,South Texas College of Law,JD,,148,-0.08,,
,Richard Donoghue,,"St. John’s University, New York, NY",JD,1992,58,-0.483,,
http://www.wikidata.org/entity/Q16146008,David Anderson,,Stanford University,JD,1990,4,-0.878,,
http://www.wikidata.org/entity/Q48675953,Robert Kyoung Hur,,Stanford University,JD,,4,-0.878,,
,Geoffrey Berman,,Stanford University,JD,1984,4,-0.878,,
,James. P Kennedy,,State University of New York at Buffalo,JD,1988,115,-0.413,,
http://www.wikidata.org/entity/Q45916875,Duane Kees,,"University of Arkansas, Little Rock",JD,,148,-0.29,,
,Clay Fowlkes,,"University of Arkansas, Little Rock",JD,,148,-0.29,,
http://www.wikidata.org/entity/Q47457151,McGregor W. Scott,http://www.wikidata.org/entity/Q3577853,"University of California, Hastings",JD,,64,-1.125,,
http://www.wikidata.org/entity/Q55238023,Jason R. Dunn,,"University of Colorado, Boulder",JD,,36,-0.829,,
http://www.wikidata.org/entity/Q6230524,John Durham,http://www.wikidata.org/entity/Q7895301,University of Connecticut,JD,1975,64,-0.654,,
http://www.wikidata.org/entity/Q38864225,Charles Peeler,,University of Georgia,JD,1999,29,-0.185,,
http://www.wikidata.org/entity/Q4865059,Bart Davis,http://www.wikidata.org/entity/Q1854488,University of Idaho,JD,1980,115,0.212,,
http://www.wikidata.org/entity/Q28840361,B. J. Pak,http://www.wikidata.org/entity/Q7895523,University of Illinois,JD,,36,-0.865,,
http://www.wikidata.org/entity/Q56284266,John C. Milhiser,http://www.wikidata.org/entity/Q7895523,University of Illinois,JD,,36,-0.865,,
http://www.wikidata.org/entity/Q48791963,Stephen McAllister,http://www.wikidata.org/entity/Q7895581,University of Kansas,JD,1988,77,-0.391,,
http://www.wikidata.org/entity/Q40338033,Russell Coleman,http://www.wikidata.org/entity/Q7895594,University of Kentucky,JD,2004,92,0.039,,
