District,Attorney WikidataID,Attorney,Employer,Title,Firm conservative score,Start date,End date,Notes
U.S. Attorney for the E.D. of New York,,Richard Donoghue,US Army Judge Advocate General's Corp,Captain,,1993,2000,
U.S. Attorney for the S.D. of Alabama,Q32171993,Richard W. Moore,Private Practice,Attorney,,Unknown,1985,
U.S. Attorney for the S.D. of Alabama,Q32171993,Richard W. Moore,Tenessee Valley Authority,Inspector General,,2003,2017,
U.S. Attorney for the S.D. of Alabama,Q32171993,Richard W. Moore,United States Attorney's Office for the Southern District of Alabama,Assistant US Attorney,,1985,2003,
U.S. Attorney for the E.D. of North Carolina,Q41536729,Robert Higdon Jr.,United States Attorney's Office for the Eastern District of North Carolina,Chief,,2002,2013,
U.S. Attorney for the E.D. of North Carolina,Q41536729,Robert Higdon Jr.,United States Department of Justice,Senior Trial Attorney,,2014,2015,
U.S. Attorney for the E.D. of North Carolina,Q41536729,Robert Higdon Jr.,Williams Mullen,Partner,0.082,2015,2017,
U.S. Attorney for the District of Maryland,Q48675953,Robert K. Hur,King & Spalding LLP,Partner,-0.097,2014,2017,
U.S. Attorney for the District of Maryland,Q48675953,Robert K. Hur,United States Attorney's Office for the District of Maryland,Assistant US Attorney,,2007,2014,
U.S. Attorney for the District of Maryland,Q48675953,Robert K. Hur,United States Court of Appeals for the Ninth Circuit,Law Clerk,,,,
U.S. Attorney for the District of Maryland,Q48675953,Robert K. Hur,United States Department of Justice,Principal Associate Deputy Attorney General,,2017,2018,
U.S. Attorney for the District of Maryland,Q48675953,Robert K. Hur,United States Department of Justice,Counsel,,,,
U.S. Attorney for the District of Maryland,Q48675953,Robert K. Hur,United States Supreme Court,Law Clerk,,,,
U.S. Attorney for the E.D. of Kentucky,Q42422254,Robert M. Duncan Jr.,United States Attorney's Office for the Eastern District of Kentucky,Assistant US Attorney,,2005,2017,
U.S. Attorney for the E.D. of Kentucky,Q42422254,Robert M. Duncan Jr.,United States District Court for the Eastern District of Michigan,Law Clerk,,,,
U.S. Attorney for the S.D. of California,Q55238022,Robert S. Brewer Jr.,County of Los Angeles CA,Deputy District Attorney,,1975,1977,
U.S. Attorney for the S.D. of California,Q55238022,Robert S. Brewer Jr.,Jones Day LLP,Partner,-0.213,2009,2014,
U.S. Attorney for the S.D. of California,Q55238022,Robert S. Brewer Jr.,McKenna Long & Aldridge LLP,Partner,-0.17,1991,2009,
U.S. Attorney for the S.D. of California,Q55238022,Robert S. Brewer Jr.,Private Practice,Attorney,,1982,1991,
U.S. Attorney for the S.D. of California,Q55238022,Robert S. Brewer Jr.,Seltzer Caplan McMahon Vitek ALC,Of Counsel,,,,
