"","agency_name","agency_title","person","employer","start_date","end_date","title","firm_conservative_score","bachelors","masters","law","doctorate","law_rank","law_conservative_score","federalist_society","heritage_foundation"
"91","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Career Builder",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Citgo Petroleum",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Cleveland Clinic",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","CVS Health Corporation",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Cytec Industries",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","EcoLab",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Enrollforce, LLC",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Follett Corporation",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Franciscan Alliance",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","ICON Health & Fitness, Inc.",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","McDonald's Corporation",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","National Railway Labor Conference",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Publix Supermarkets",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","R.J. Reynolds Tobacco Company",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Retail Litigation Center",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","U.S. Chamber of Commerce",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Verizon Communications",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Washington Post",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Abbott Laboratories",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","BNSF Railway Company",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Cornfields, Inc.",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","CSX Corporation",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Donald J. Trump for President, Inc.",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Groupon",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Koninklijke Ahold",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Republican National Committee",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Reynolds American, Inc.",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Texas Roadhouse",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","U.S. Steel Corporation",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","University of North Carolina",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Federalist Society",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Jones Day LLP",NA,NA,"Partner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Federalist Society",NA,NA,"Chair - regulatory reform project",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Justice","Assistant Attorney General for the National Security Division","John C. Demers","Boeing Company",2018,NA,"Vice President & Asst General Counsel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Justice","Assistant Attorney General for the National Security Division","John C. Demers","Georgetown University Law Center",2018,NA,"Adjunct Professor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Justice","Assistant Attorney General for the National Security Division","John C. Demers","F. & G. Family Irrevocable Trust",2018,NA,"Trustee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Justice","Assistant Attorney General for the National Security Division","John C. Demers","Family Revocable Trust 1",2018,NA,"Trustee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Justice","Assistant Attorney General for the National Security Division","John C. Demers","Paulding LLC",2018,NA,"Agent",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Dechert LLP",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"130","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","AFGS LLC",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"131","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Afilias USA, Inc.",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"132","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Elliott Associates",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"133","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Huntington Acquisition 1 LLC",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"134","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Harborview Capital Partners LLC",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"135","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Abby Modell",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"136","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","NDG Financial",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"137","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","QVT Financial",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"138","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Mustang Therapeutics",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"139","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Lindsay Rosenwald",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"140","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Cammeby's International",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"141","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","State Policy Network",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"142","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Sullivan Farms II, Inc.",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"143","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","Zohar Cohen",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
"144","Justice","Assistant Attorney General for the Office of the Legal Counsel","Steven A. Engel","General Electric Company",2017,NA,"Legal Services",NA,"Harvard University","University of Cambridge","Yale University",NA,1,-0.913,1,NA
