"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"37","Halsey Frank","U.S. Attorney for the District of Maine","prosecutor","10/10/2017",NA,NA,"","male",0,NA,"Wesleyan University",NA,NA,"Boston University",-0.93,19,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"38","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","10/10/2017","1975-01-01",45,"","male",0,NA,"University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,0,0,1,0,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"39","James. P Kennedy","U.S. Attorney for the W.D. of New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"40","Jason R. Dunn","U.S. Attorney for the District of Colorado","prosecutor","10/26/2018",NA,NA,"","male",0,NA,"University of Colorado","University of Colorado",NA,"University of Colorado, Boulder",-0.829,36,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"41","Jay Town","U.S. Attorney for the N.D. of Alabama","prosecutor","8/11/2017","1973-08-26",47,"","male",0,"Republican","University of Notre Dame",NA,NA,"Seton Hall University School of Law",-0.467,64,0,0,0,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0
"42","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"43","Jeffrey A. Rosen","Deputy Attorney General",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"44","Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division","justicedept",NA,NA,NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,NA,NA,NA,NA,0,0
"45","Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri","prosecutor","10/6/2017",NA,NA,"","male",0,NA,"Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"46","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","9/24/2017","1973-01-02",47,"Kingsville","female",0,NA,"Harvard University",NA,NA,"Yale University",-0.913,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,NA,NA,NA,NA,0,0
