item,itemLabel,class,classLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,place_of_birth,place_of_birthLabel,occupation,occupationLabel,educated_at,educated_atLabel
http://www.wikidata.org/entity/Q43381318,William J. Powell,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1960-01-01T00:00:00Z,http://www.wikidata.org/entity/Q286148,Manhasset,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7986925,West Virginia University College of Law
http://www.wikidata.org/entity/Q44532195,John R. Lausch Jr.,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q40345,Joliet,,,http://www.wikidata.org/entity/Q13371,Harvard University
http://www.wikidata.org/entity/Q44532195,John R. Lausch Jr.,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q40345,Joliet,,,http://www.wikidata.org/entity/Q7060409,Northwestern University School of Law
http://www.wikidata.org/entity/Q45713701,Erin Nealy Cox,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q913225,Pascagoula,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q49213,University of Texas at Austin
http://www.wikidata.org/entity/Q45714460,Christina E. Nolan,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,1979-01-01T00:00:00Z,http://www.wikidata.org/entity/Q31058,Burlington,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1048898,University of Vermont
http://www.wikidata.org/entity/Q45714460,Christina E. Nolan,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581072,female,1979-01-01T00:00:00Z,http://www.wikidata.org/entity/Q31058,Burlington,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q4947841,Boston College Law School
http://www.wikidata.org/entity/Q45914636,Scott W. Murray,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q985354,Rochester,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q49207,University of New Hampshire
http://www.wikidata.org/entity/Q45915219,David C. Weiss,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q777403,Washington University in St. Louis
http://www.wikidata.org/entity/Q45916875,Duane Kees,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q33405,Little Rock,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895080,University of Arkansas School of Law
http://www.wikidata.org/entity/Q46303027,Ryan Patrick,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1979-01-01T00:00:00Z,http://www.wikidata.org/entity/Q61,"Washington, D.C.",http://www.wikidata.org/entity/Q16533,judge,http://www.wikidata.org/entity/Q812573,Baylor University
http://www.wikidata.org/entity/Q47037424,Geoffrey Berman,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1959-09-12T00:00:00Z,http://www.wikidata.org/entity/Q25330,Trenton,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q49117,University of Pennsylvania
http://www.wikidata.org/entity/Q47037424,Geoffrey Berman,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1959-09-12T00:00:00Z,http://www.wikidata.org/entity/Q25330,Trenton,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q8012895,Stanford Law School
http://www.wikidata.org/entity/Q47457151,McGregor W. Scott,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1962-01-01T00:00:00Z,http://www.wikidata.org/entity/Q486860,Mountain View,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q992830,Santa Clara University
http://www.wikidata.org/entity/Q47457151,McGregor W. Scott,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1962-01-01T00:00:00Z,http://www.wikidata.org/entity/Q486860,Mountain View,http://www.wikidata.org/entity/Q82955,politician,http://www.wikidata.org/entity/Q3577853,"University of California, Hastings College of the Law"
http://www.wikidata.org/entity/Q47484556,Matthew Krueger,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1978-01-01T00:00:00Z,http://www.wikidata.org/entity/Q37836,Milwaukee,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q838330,University of Wisconsin–Madison
http://www.wikidata.org/entity/Q47484556,Matthew Krueger,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1978-01-01T00:00:00Z,http://www.wikidata.org/entity/Q37836,Milwaukee,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895798,University of Minnesota Law School
http://www.wikidata.org/entity/Q47499109,Joseph D. Brown,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q982379,Sherman,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q49213,University of Texas at Austin
http://www.wikidata.org/entity/Q48471887,Billy J. Williams,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q986202,Toppenish,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q597236,Washington State University
http://www.wikidata.org/entity/Q48471887,Billy J. Williams,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1956-01-01T00:00:00Z,http://www.wikidata.org/entity/Q986202,Toppenish,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q8003310,Willamette University College of Law
http://www.wikidata.org/entity/Q48673968,Brandon J. Fremin,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1974-04-09T00:00:00Z,http://www.wikidata.org/entity/Q28218,Baton Rouge,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q615998,Southeastern Louisiana University
http://www.wikidata.org/entity/Q48673968,Brandon J. Fremin,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1974-04-09T00:00:00Z,http://www.wikidata.org/entity/Q28218,Baton Rouge,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7152118,Paul M. Hebert Law Center
http://www.wikidata.org/entity/Q48675953,Robert Kyoung Hur,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q13371,Harvard University
http://www.wikidata.org/entity/Q48688244,William M. McSwain,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1969-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q49112,Yale University
http://www.wikidata.org/entity/Q48688244,William M. McSwain,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1969-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q49122,Harvard Law School
http://www.wikidata.org/entity/Q48740794,Scott Brady,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q13371,Harvard University
http://www.wikidata.org/entity/Q48743453,John C. Anderson,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1594054,Smithtown,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q895401,Bowdoin College
http://www.wikidata.org/entity/Q48743453,John C. Anderson,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1975-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1594054,Smithtown,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q5468082,Fordham University School of Law
http://www.wikidata.org/entity/Q48791963,Stephen McAllister,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q52413,University of Kansas
http://www.wikidata.org/entity/Q48791963,Stephen McAllister,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895581,University of Kansas School of Law
http://www.wikidata.org/entity/Q48926392,Thomas T. Cullen,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1977-01-01T00:00:00Z,http://www.wikidata.org/entity/Q43421,Richmond,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1475020,Furman University
