"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"103","Geoffrey Berman","U.S. Attorney for the S.D. of New York","prosecutor",NA,"1959-09-12",61,"Trenton","male","University of Pennsylvania",NA,NA,"Stanford University",-0.878,4,NA,"Republican","Iran - US Claims Tribunal",NA,NA,NA,NA,NA,1,NA,NA,NA
"104","William Powell",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackson Kelly LLC",0.195,NA,NA,NA,NA,NA,NA,NA,NA
"105","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","2017-09-24","1973-01-02",47,"Kingsville","female","Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,"Jenner & Block LLP",-0.785,2009,2016,NA,NA,1,1,NA,NA
"106","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","2017-09-24","1973-01-02",47,"Kingsville","female","Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,"Jenner & Block LLP",-0.785,1999,2002,NA,NA,1,1,NA,NA
"107","Andrew B. Birge",NA,"prosecutor",NA,NA,NA,NA,NA,"Carleton College",NA,NA,"Columbia University",-0.882,3,NA,NA,"Jenner & Block LLP",-0.785,NA,NA,NA,NA,NA,NA,NA,NA
"108","Ron A. Parsons Jr.","U.S. Attorney for the District of South Dakota","prosecutor","2018-01-05",NA,NA,"","male","University of Minnesota",NA,NA,"University of South Dakota",0.061,157,0,"Republican","Johnson Heidepriem & Abdallah LLP",NA,NA,2017,NA,NA,NA,NA,NA,NA
"109","Aaron L. Weisman","U.S. Attorney for the District of Rhode Island","prosecutor","2019-01-14","1965-01-01",55,"","male","Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",-0.839,43,0,"Republican","Jones Associates",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","2019-01-16","1946-01-01",74,"Hartford","male","St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,"Jones Day LLP",-0.213,2009,2014,NA,NA,1,NA,NA,NA
"111","Justin Herdman","U.S. Attorney for the N.D. of Ohio","prosecutor","2017-08-21",NA,NA,"","male","Ohio University","University of Glasgow",NA,"Harvard University",-0.816,1,0,NA,"Jones Day LLP",-0.213,2013,2017,NA,NA,1,NA,NA,NA
"112","Scott Brady","U.S. Attorney for the W.D. of Pennsylvania","prosecutor","2017-12-22",NA,NA,"","male","Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,NA,"Jones Day LLP",-0.213,NA,NA,NA,NA,NA,NA,NA,NA
"113","David C. Joseph","U.S. Attorney for the W.D. of Louisiana","prosecutor","2018-04-03","1977-05-06",43,"Dallas","male","University of Oklahoma",NA,NA,"Louisiana State University",0.278,102,0,"Republican","Kane Russell Coleman Logan PC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Stephen McAllister","U.S. Attorney for the District of Kansas","prosecutor","2018-01-25",NA,NA,"","male","University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,NA,"Kansas Office of the Attorney General",NA,NA,NA,NA,NA,1,NA,NA,NA
"115","Larry Keefe","U.S. Attorney for the N.D. of Florida","prosecutor","2019-01-09","1961-12-30",58,"Fort Dix","male","University of Florida",NA,NA,"University of Florida",-0.214,29,0,"Democrat","Keefe, Anchors & Gordon PA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Charles Peeler","U.S. Attorney for the M.D. of Georgia","prosecutor","2017-11-22","1973-01-01",47,"Augusta","male","University of Georgia",NA,NA,"University of Georgia",-0.185,29,0,NA,"King & Spalding LLP",-0.097,NA,2005,NA,NA,NA,NA,NA,NA
"117","Robert K. Hur",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"King & Spalding LLP",-0.097,2014,2017,NA,NA,NA,NA,NA,NA
"118","John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois","prosecutor","2017-11-22","1970-01-01",50,"Joliet","male","Harvard University",NA,NA,"Northwestern University",-0.839,8,0,"None","Kirkland & Ellis LLP",-0.363,2010,2017,NA,NA,NA,NA,NA,NA
"119","John R. Lausch Jr.","U.S. Attorney for the N.D. of Illinois","prosecutor","2017-11-22","1970-01-01",50,"Joliet","male","Harvard University",NA,NA,"Northwestern University",-0.839,8,0,"None","Kirkland & Ellis LLP",-0.363,1997,1999,NA,NA,NA,NA,NA,NA
"120","Erica MacDonald","U.S. Attorney for the District of Minnesota","prosecutor","2018-06-11",NA,NA,"DeSoto","female","University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,"Republican","Kirkland & Ellis LLP",-0.363,1999,2000,NA,NA,NA,NA,NA,NA
"121","Mark Klassen",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latham & Watkins",-0.561,NA,NA,NA,NA,NA,NA,NA,NA
"122","Andrew Lelling","U.S. Attorney for the District of Massachusetts","prosecutor","2017-12-21","1970-01-01",50,"","male","Binghamton University",NA,NA,"University of Pennsylvania",-0.865,6,0,"Republican","LeBoeuf Lamb Greene & MacRae LLP",NA,NA,NA,NA,NA,1,NA,NA,NA
"123","Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama","prosecutor","2017-09-21","1958-01-01",62,"Montgomery","male","University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,"Legal Services Corporation",NA,1987,1990,NA,NA,NA,NA,NA,NA
"124","Brandon Fremin",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louisiana Office of the Attorney General",NA,NA,2018,NA,NA,NA,NA,NA,NA
"125","William D. Hyslop","U.S. Attorney for the E.D. of Washington","prosecutor","2019-07-18","1951-01-01",69,"Spokane","male","Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,1,NA,"Lukins & Annis PS",NA,1993,2019,NA,NA,NA,NA,NA,NA
"126","William D. Hyslop","U.S. Attorney for the E.D. of Washington","prosecutor","2019-07-18","1951-01-01",69,"Spokane","male","Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,1,NA,"Lukins & Annis PS",NA,1984,1991,NA,NA,NA,NA,NA,NA
"127","William D. Hyslop","U.S. Attorney for the E.D. of Washington","prosecutor","2019-07-18","1951-01-01",69,"Spokane","male","Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,1,NA,"Lukins & Annis PS",NA,1980,1983,NA,NA,NA,NA,NA,NA
"128","Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina","prosecutor","2020-03-30","1978-08-20",42,"Charleston","male","Hampden-Sydney College",NA,NA,"Regent University",0.264,102,NA,"Republican","McCoy & Stokes",NA,NA,NA,NA,NA,NA,NA,1,NA
"129","Jay Town","U.S. Attorney for the N.D. of Alabama","prosecutor","2017-08-11","1973-08-26",47,"","male","University of Notre Dame",NA,NA,"Seton Hall University School of Law",-0.467,64,0,"Republican","McElroy, Deutsch, Mulvaney & Carpenter",-0.169,2002,2005,NA,NA,NA,NA,NA,NA
"130","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","2019-01-16","1946-01-01",74,"Hartford","male","St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,"McKenna Long & Aldridge LLP",-0.17,1991,2009,NA,NA,1,NA,NA,NA
"131","Erin Nealy Cox","U.S. Attorney for the N.D. of Texas","prosecutor","2017-11-17","1970-01-01",50,"Pascagoula","female",NA,NA,NA,"University of Texas, Austin",-0.165,15,0,"None","McKinsey & Company",NA,NA,2017,NA,NA,1,NA,NA,NA
"132","Andrew B. Birge",NA,"prosecutor",NA,NA,NA,NA,NA,"Carleton College",NA,NA,"Columbia University",-0.882,3,NA,NA,"Michigan 8th District Court",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","2018-01-05",NA,NA,"","male","Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,"Michigan Office of the Attorney General",NA,NA,NA,NA,NA,1,NA,NA,NA
"134","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","2018-01-05",NA,NA,"","male","Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,"Michigan State University Law School",NA,2012,NA,NA,NA,1,NA,NA,NA
"135","Matthew J. Schneider","U.S. Attorney for the E.D. of Michigan","prosecutor","2018-01-05",NA,NA,"","male","Michigan State University",NA,NA,"University of Michigan",-0.776,8,0,NA,"Michigan Supreme Court",NA,NA,NA,NA,NA,1,NA,NA,NA
"136","Erica MacDonald","U.S. Attorney for the District of Minnesota","prosecutor","2018-06-11",NA,NA,"DeSoto","female","University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,"Republican","Minnesota First Judicial District",NA,2009,2018,NA,NA,NA,NA,NA,NA
"137","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","2017-09-24","1973-01-02",47,"Kingsville","female","Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,"Morrison & Foerster LLP",-0.943,2016,NA,NA,NA,1,1,NA,NA
"138","Nicholas A. Trutanich","U.S. Attorney for the District of Nevada","prosecutor","2019-01-16",NA,NA,"","male","University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,"Democrat","Nevada Office of the Attorney General",NA,NA,2019,NA,NA,NA,NA,NA,NA
"139","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","Nexsen Pruet LLC",NA,NA,1990,NA,NA,NA,NA,NA,NA
"140","Drew Wrigley","U.S. Attorney for the District of North Dakota","prosecutor","2019-04-17","1965-10-10",55,"Bismarck","male","University of North Dakota",NA,NA,"American University",-0.834,64,1,"Republican","Noridian Administrative Services",NA,2009,2010,NA,NA,NA,NA,1,NA
"141","Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma","prosecutor","2019-06-05",NA,NA,"","male","University of Oklahoma","Oral Roberts University",NA,"Regent University",0.264,102,1,"Republican","Oklahoma House of Representatives",NA,2016,2018,NA,NA,1,NA,NA,NA
"142","R. Trent Shores","U.S. Attorney for the N.D. of Oklahoma","prosecutor","2017-10-21",NA,NA,"","male","Vanderbilt University",NA,NA,"University of Oklahoma",0.062,77,0,"Republican","Oklahoma Office of the Attorney General",NA,2015,2015,NA,NA,1,NA,NA,NA
"143","Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma","prosecutor","2019-06-05",NA,NA,"","male","University of Oklahoma","Oral Roberts University",NA,"Regent University",0.264,102,1,"Republican","Oklahoma Office of the Attorney General",NA,2011,2016,NA,NA,1,NA,NA,NA
"144","McGregor W. Scott","U.S. Attorney for the E.D. of California","prosecutor","2017-12-29","1962-01-01",58,"Mountain View","male","Santa Clara University",NA,NA,"University of California, Hastings",-1.125,64,0,"Republcian","Orrick, Herrington & Sutcliffe LLP",-0.853,2009,2017,NA,NA,1,NA,NA,NA
"145","Brian T. Moran","U.S. Attorney for the W.D. of Washington","prosecutor","2019-01-17",NA,NA,"","male","Middlebury College",NA,NA,"Seattle University",-0.938,102,0,NA,"Orrick, Herrington & Sutcliffe LLP",-0.853,2013,2018,NA,NA,NA,NA,NA,NA
"146","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pillsbury Winthrop Shaw Pittman LLP",-0.532,2005,2008,NA,NA,NA,NA,NA,NA
"147","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pillsburg Winshop LLP",NA,2005,2005,NA,NA,NA,NA,NA,NA
"148","Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri","prosecutor","2017-10-06",NA,NA,"","male","Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,NA,"Pricewaterhousecoopers LLP",NA,1988,NA,NA,NA,NA,NA,NA,NA
"149","Richard W. Moore","U.S. Attorney for the S.D. of Alabama","prosecutor","2017-09-22","1952-01-01",68,"Bartow","male","Spring Hill College",NA,NA,"Cumberland University",0.382,148,0,"None","Private Practice",NA,NA,1985,NA,NA,NA,NA,NA,NA
"150","Michael G. Bailey","U.S. Attorney for the District of Arizona","prosecutor",NA,NA,NA,"","male","Westmont College",NA,NA,"University of Arizona",-0.776,29,1,"Republican","Private Practice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","2019-01-16","1946-01-01",74,"Hartford","male","St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,"Private Practice",NA,1982,1991,NA,NA,1,NA,NA,NA
"152","B.J. Pak",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private Practice",NA,2008,2017,NA,NA,NA,NA,NA,NA
"153","Bart Davis","U.S. Attorney for the District of Idaho","prosecutor","2017-09-21","1955-03-07",65,"Rapid City","male","Brigham Young University",NA,NA,"University of Idaho",0.212,115,0,"Republican","Private Practice",NA,NA,NA,NA,NA,1,NA,NA,NA
"154","John C. Milhiser","U.S. Attorney for the C.D. of Illinois","prosecutor","2018-10-31",NA,NA,"United States of America","male","James Madison University",NA,NA,"University of Illinois",-0.865,36,0,"Republican","Private Practice",NA,2003,2008,NA,NA,NA,NA,NA,NA
"155","Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri","prosecutor","2017-10-06",NA,NA,"","male","Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,NA,"Private Practice",NA,2010,2013,NA,NA,NA,NA,NA,NA
"156","Nicholas A. Trutanich","U.S. Attorney for the District of Nevada","prosecutor","2019-01-16",NA,NA,"","male","University of California, Davis",NA,NA,"Georgetown University",-0.821,15,0,"Democrat","Private Practice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","R. Andrew Murray","U.S. Attorney for the W.D. of North Carolina","prosecutor","2017-11-27",NA,NA,"","male","University of North Carolina at Charlotte",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,"Republican","Private Practice",NA,1992,2017,NA,NA,NA,NA,NA,NA
"158","David Freed","U.S. Attorney for the M.D. of Pennsylvania","prosecutor","2017-11-27",NA,NA,"","male","Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,"Republican","Private Practice",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","Private Practice",NA,2005,2018,NA,NA,NA,NA,NA,NA
"160","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","Private Practice",NA,1995,2003,NA,NA,NA,NA,NA,NA
"161","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","Private Practice",NA,1993,1995,NA,NA,NA,NA,NA,NA
"162","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","Private Practice",NA,1987,1990,NA,NA,NA,NA,NA,NA
"163","Ryan Patrick","U.S. Attorney for the S.D. of Texas","prosecutor","2018-01-08","1979-01-01",41,"Washington, D.C.","male","Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,"Republican","Private Practice",NA,2017,2017,NA,1,1,NA,NA,NA
"164","Scott Blader","U.S. Attorney for the W.D. of Wisconsin","prosecutor","2017-11-22","1974-01-01",46,"Wild Rose","male","University of Wisconsin-Oshkosh",NA,NA,"Marquette University",-0.502,102,0,"Republican","Private Practice",NA,1999,2007,NA,NA,NA,NA,NA,NA
"165","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor",NA,NA,NA,"","male","Presbyterian College",NA,NA,"University of Florida",-0.214,29,NA,NA,"Private Practice",NA,1988,1989,NA,NA,NA,NA,NA,NA
"166","Scott Brady","U.S. Attorney for the W.D. of Pennsylvania","prosecutor","2017-12-22",NA,NA,"","male","Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,NA,"Reed Smith LLP",-0.443,NA,NA,NA,NA,NA,NA,NA,NA
"167","Michael B. Stuart","U.S. Attorney for the S.D. of West Virginia","prosecutor","2018-01-09","1967-01-06",53,"Philippi","male","West Virginia University",NA,NA,"Boston University",-0.93,19,0,"Republican","Republican Party of West Virginia",NA,2010,2012,NA,NA,NA,NA,NA,NA
"168","Aaron L. Weisman","U.S. Attorney for the District of Rhode Island","prosecutor","2019-01-14","1965-01-01",55,"","male","Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",-0.839,43,0,"Republican","Rhode Island Office of the Attorney General",NA,1993,2019,NA,NA,NA,NA,NA,NA
"169","Aaron L. Weisman","U.S. Attorney for the District of Rhode Island","prosecutor","2019-01-14","1965-01-01",55,"","male","Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",-0.839,43,0,"Republican","Rhode Island Office of the Attorney General",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Doug Overbey","U.S. Attorney for the E.D. of Tennessee","prosecutor","2017-11-21","1954-12-11",65,"","male","Carson Newman University",NA,NA,"University of Tennessee, Knoxville",-0.267,64,0,"Republican","Robertson Overbey",NA,1982,2017,NA,NA,NA,NA,NA,NA
"171","Brian Kuester","U.S. Attorney for the E.D. of Oklahoma","prosecutor","2017-10-25",NA,NA,"","male","University of Central Missouri",NA,NA,"University of Tulsa",-0.109,102,0,"Republican","Robinette & Osmond",NA,2000,2003,NA,NA,NA,NA,NA,NA
"172","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","2019-01-16","1946-01-01",74,"Hartford","male","St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,"Seltzer Caplan McMahon Vitek ALC",NA,NA,NA,NA,NA,1,NA,NA,NA
"173","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sidley Austin LLP",-0.608,2010,NA,NA,NA,NA,NA,NA,NA
"174","Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin","prosecutor","2018-02-23","1978-01-01",42,"Milwaukee","male","University of Wisconsin–Madison",NA,NA,"University of Minnesota",-0.907,24,0,"Republican","Sidley Austin LLP",-0.608,NA,NA,NA,NA,1,NA,NA,NA
"175","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","Siegfried Group LLP",NA,1999,2007,NA,NA,NA,NA,NA,NA
"176","John C. Anderson","U.S. Attorney for the District of New Mexico","prosecutor","2018-02-23","1975-01-01",45,"Smithtown","male","Bowdoin College",NA,NA,"Fordham University",-0.773,24,0,"Republican","Simpson Thacher & Bartlett LLP",-0.719,2004,2008,NA,NA,NA,NA,NA,NA
"177","Louis V. Franklin Sr.","U.S. Attorney for the M.D. of Alabama","prosecutor","2017-09-21","1958-01-01",62,"Montgomery","male","University of Alabama","Auburn University at Montgomery",NA,"Howard University",-1.17,148,0,NA,"Sirote and Permutt",NA,1996,1998,NA,NA,NA,NA,NA,NA
"178","Matthew Martin","U.S. Attorney for the M.D. of North Carolina","prosecutor","2017-11-09","1979-01-01",41,"Wright-Patterson Air Force Base","male","University of North Carolina",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,"Republican","Smith Anderson Blount Dorsett Mitchell & Jernigan LLP",NA,2006,2013,NA,NA,NA,NA,NA,NA
"179","Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina","prosecutor","2020-03-30","1978-08-20",42,"Charleston","male","Hampden-Sydney College",NA,NA,"Regent University",0.264,102,NA,"Republican","South Carolina House of Represenatives",NA,2011,2020,NA,NA,NA,NA,1,NA
"180","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","2018-05-24","1962-02-21",58,"Myrtle Beach Air Force Base","female","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,"None","South Carolina Office of the Attorney General",NA,2003,2004,NA,NA,NA,NA,NA,NA
"181","Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina","prosecutor","2020-03-30","1978-08-20",42,"Charleston","male","Hampden-Sydney College",NA,NA,"Regent University",0.264,102,NA,"Republican","South Carolina Office of the Solictor for the Ninth Judicial Circuit",NA,NA,NA,NA,NA,NA,NA,1,NA
"182","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,NA,"State of Arkansas, Office of the Governor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,NA,"State of Arkansas, Office of the Governor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Drew Wrigley","U.S. Attorney for the District of North Dakota","prosecutor","2019-04-17","1965-10-10",55,"Bismarck","male","University of North Dakota",NA,NA,"American University",-0.834,64,1,"Republican","State of North Dakota",NA,2010,2016,NA,NA,NA,NA,1,NA
"185","Drew Wrigley","U.S. Attorney for the District of North Dakota","prosecutor","2019-04-17","1965-10-10",55,"Bismarck","male","University of North Dakota",NA,NA,"American University",-0.834,64,1,"Republican","State of North Dakota, Office of the Governor",NA,2000,2001,NA,NA,NA,NA,1,NA
"186","Michael B. Stuart","U.S. Attorney for the S.D. of West Virginia","prosecutor","2018-01-09","1967-01-06",53,"Philippi","male","West Virginia University",NA,NA,"Boston University",-0.93,19,0,"Republican","Steptoe & Johnson PLLC",-0.29,NA,2018,NA,NA,NA,NA,NA,NA
"187","Matthew Krueger","U.S. Attorney for the E.D. of Wisconsin","prosecutor","2018-02-23","1978-01-01",42,"Milwaukee","male","University of Wisconsin–Madison",NA,NA,"University of Minnesota",-0.907,24,0,"Republican","Steptoe & Johnson PLLC",-0.29,2013,2018,NA,NA,1,NA,NA,NA
"188","Erin Nealy Cox","U.S. Attorney for the N.D. of Texas","prosecutor","2017-11-17","1970-01-01",50,"Pascagoula","female",NA,NA,NA,"University of Texas, Austin",-0.165,15,0,"None","Stroz Friedberg LLC",NA,2008,2016,NA,NA,1,NA,NA,NA
"189","Richard W. Moore","U.S. Attorney for the S.D. of Alabama","prosecutor","2017-09-22","1952-01-01",68,"Bartow","male","Spring Hill College",NA,NA,"Cumberland University",0.382,148,0,"None","Tenessee Valley Authority",NA,2003,2017,NA,NA,NA,NA,NA,NA
"190","Doug Overbey","U.S. Attorney for the E.D. of Tennessee","prosecutor","2017-11-21","1954-12-11",65,"","male","Carson Newman University",NA,NA,"University of Tennessee, Knoxville",-0.267,64,0,"Republican","Tennessee House of Represenatives",NA,2008,2009,NA,NA,NA,NA,NA,NA
"191","Doug Overbey","U.S. Attorney for the E.D. of Tennessee","prosecutor","2017-11-21","1954-12-11",65,"","male","Carson Newman University",NA,NA,"University of Tennessee, Knoxville",-0.267,64,0,"Republican","Tennessee State Senate",NA,2009,2017,NA,NA,NA,NA,NA,NA
"192","Ryan Patrick","U.S. Attorney for the S.D. of Texas","prosecutor","2018-01-08","1979-01-01",41,"Washington, D.C.","male","Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,"Republican","Texas 177th District Court",NA,2012,2016,NA,1,1,NA,NA,NA
"193","Joseph D. Brown","U.S. Attorney for the E.D. of Texas","prosecutor","2018-02-26","1970-01-01",50,"Sherman","male","University of Texas at Austin",NA,NA,"Southern Methodist University",0.029,43,0,"Republican","Texas Juvenile Justice Department",NA,2009,2014,NA,NA,NA,NA,1,NA
"194","D. Michael Hurst Jr.","U.S. Attorney for the S.D. of Mississippi","prosecutor",NA,NA,NA,"Hickory","male","Millsaps College",NA,NA,"George Washington University",-0.841,21,NA,"Republican","Troutman Sanders LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Timothy A. Garrison","U.S. Attorney for the W.D. of Missouri","prosecutor","2018-01-05","1976-01-01",44,"Urbana","male","Drury University","University of Missouri",NA,"University of Missouri",-0.197,77,0,"Republican","United State Department of Defense",NA,NA,NA,NA,NA,1,NA,NA,1
"196","Stephen McAllister","U.S. Attorney for the District of Kansas","prosecutor","2018-01-25",NA,NA,"","male","University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,NA,"United States Appeals Court for the Seventh Circuit",NA,NA,NA,NA,NA,1,NA,NA,NA
"197","Nicola T. Hanna","U.S. Attorney for the C.D. of California","prosecutor","2018-01-05","1961-09-19",59,"","male","University of California, San Diego",NA,NA,"Georgetown University",-0.821,15,0,"Republican","United States Attorney's Office for the Central District of California",NA,1990,1994,NA,NA,NA,NA,NA,NA
"198","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","2019-01-16","1946-01-01",74,"Hartford","male","St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,"United States Attorney's Office for the Central District of California",NA,1977,1982,NA,NA,1,NA,NA,NA
"199","Bryan Schroder","U.S. Attorney for the District of Alaska","prosecutor","2017-11-21","1959-02-03",61,"","male","United States Coast Guard Academy",NA,NA,"University of Washington",-0.806,29,0,NA,"United States Attorney's Office for the District of Alaska",NA,NA,2017,NA,NA,NA,NA,NA,NA
"200","Bryan Schroder","U.S. Attorney for the District of Alaska","prosecutor","2017-11-21","1959-02-03",61,"","male","United States Coast Guard Academy",NA,NA,"University of Washington",-0.806,29,0,NA,"United States Attorney's Office for the District of Alaska",NA,2005,NA,NA,NA,NA,NA,NA,NA
"201","Jessie K. Liu","U.S. Attorney for the District of Columbia","prosecutor","2017-09-24","1973-01-02",47,"Kingsville","female","Harvard University",NA,NA,"Yale University",-0.913,1,0,NA,"United States Attorney's Office for the District of Columbia",NA,2002,2006,NA,NA,1,1,NA,NA
"202","Halsey Frank","U.S. Attorney for the District of Maine","prosecutor","2017-10-10",NA,NA,"","male","Wesleyan University",NA,NA,"Boston University",-0.93,19,0,NA,"United States Attorney's Office for the District of Columbia",NA,1990,1999,NA,NA,NA,NA,NA,NA
"203","John Durham","U.S. Attorney for the District of Connecticut","prosecutor","2018-02-22","1950-01-01",70,"Boston","male","Colgate University",NA,NA,"University of Connecticut",-0.654,64,0,"None","United States Attorney's Office for the District of Connecticut",NA,1998,2017,NA,NA,NA,NA,NA,NA
"204","John Durham","U.S. Attorney for the District of Connecticut","prosecutor","2018-02-22","1950-01-01",70,"Boston","male","Colgate University",NA,NA,"University of Connecticut",-0.654,64,0,"None","United States Attorney's Office for the District of Connecticut",NA,1997,1998,NA,NA,NA,NA,NA,NA
"205","John Durham","U.S. Attorney for the District of Connecticut","prosecutor","2018-02-22","1950-01-01",70,"Boston","male","Colgate University",NA,NA,"University of Connecticut",-0.654,64,0,"None","United States Attorney's Office for the District of Connecticut",NA,NA,1997,NA,NA,NA,NA,NA,NA
