"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"40","Jason R. Dunn","U.S. Attorney for the District of Colorado","prosecutor","2018-10-26",NA,NA,"","male","University of Colorado","University of Colorado",NA,"University of Colorado, Boulder",-0.829,36,0,NA,"Colorado Supreme Court",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Clay Fowlkes",NA,"prosecutor",NA,NA,NA,NA,NA,"Arkansas State University",NA,NA,"University of Arkansas, Little Rock",-0.29,102,NA,NA,"County of Benton, AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Clay Fowlkes",NA,"prosecutor",NA,NA,NA,NA,NA,"Arkansas State University",NA,NA,"University of Arkansas, Little Rock",-0.29,148,NA,NA,"County of Benton, AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Bobby Christine","U.S. Attorney for the S.D. of Georgia","prosecutor","2017-11-22","1969-01-01",51,"","male","University of Georgia",NA,NA,"Cumberland University",0.382,148,0,NA,"County of Columbia SC",NA,NA,NA,NA,NA,1,NA,NA,NA
"44","McGregor W. Scott","U.S. Attorney for the E.D. of California","prosecutor","2017-12-29","1962-01-01",58,"Mountain View","male","Santa Clara University",NA,NA,"University of California, Hastings",-1.125,64,0,"Republcian","County of Contra Costa CA",NA,1989,1997,NA,NA,1,NA,NA,NA
"45","David Freed","U.S. Attorney for the M.D. of Pennsylvania","prosecutor","2017-11-27",NA,NA,"","male","Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,"Republican","County of Cumberland PA",NA,2006,2017,NA,NA,NA,NA,NA,NA
"46","David Freed","U.S. Attorney for the M.D. of Pennsylvania","prosecutor","2017-11-27",NA,NA,"","male","Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,"Republican","County of Cumberland PA",NA,2001,2006,NA,NA,NA,NA,NA,NA
"47","David Freed","U.S. Attorney for the M.D. of Pennsylvania","prosecutor","2017-11-27",NA,NA,"","male","Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,"Republican","County of Cumberland PA",NA,1998,2001,NA,NA,NA,NA,NA,NA
"48","Joseph D. Brown","U.S. Attorney for the E.D. of Texas","prosecutor","2018-02-26","1970-01-01",50,"Sherman","male","University of Texas at Austin",NA,NA,"Southern Methodist University",0.029,43,0,"Republican","County of Grayson TX",NA,2018,2018,NA,NA,NA,NA,1,NA
"49","Ryan Patrick","U.S. Attorney for the S.D. of Texas","prosecutor","2018-01-08","1979-01-01",41,"Washington, D.C.","male","Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,"Republican","County of Harris TX",NA,2005,2012,NA,1,1,NA,NA,NA
