"","item_label","bachelors","masters","law","doctorate","law_rank","law_conservative_score"
"129","Patrick Hovakimian","Occidental College","University of Oxford","Stanford University Law School",NA,4,37
"130","Paul Moore",NA,NA,"University of Missouri-Kansas City School of Law",NA,115,122
"131","Philip Keith","East Tennessee State University","University of Tennessee",NA,NA,NA,NA
"132","Rachael Tucker","Auburn University",NA,"University of Alabama School of Law",NA,24,172
"133","Rachel L. Brand","University of Minnesota - Morris",NA,"Harvard Law School",NA,1,25
"134","Rachel Parker-Bissex","University of Alabama",NA,"George Mason University's Antonin Scalia School of Law",NA,29,185
"135","Reed Rubinstein","University of Michigan","University of Michigan","University of Michigan Law School",NA,8,36
"136","Rene Augustine","Duke University",NA,"Vanderbilt University Law School",NA,15,140
"137","Richard E. Zuckerman","Harvard University",NA,"Yale Law School",NA,1,33
"138","Robert K. Hur","Harvard University","University of Cambridge","Stanford University Law School",NA,4,37
"139","Rod J. Rosenstein","University of Pennsylvania",NA,"Harvard Law School",NA,1,25
"140","Rosalind Burns","Bradley University",NA,"Drake University Law School",NA,115,50
"141","Ryan Newman","United States Military Academy at West Point",NA,"University of Texas at Austin",NA,NA,NA
"142","Ryan Newman","United States Military Academy at West Point",NA,"University of Texas at Austin",NA,15,125
"143","Sam G. Nazzaro","Cornell University","University of Pittsburgh","University of Pittsburgh",NA,NA,NA
"144","Sam G. Nazzaro","Cornell University","University of Pittsburgh","University of Pittsburgh",NA,77,102
"145","Samuel Ramer","Brandeis University",NA,"Boston University School of Law",NA,19,21
"146","Sarah Harris","Princeton University","University of Cambridge","Harvard Law School","University of Cambridge",1,25
"147","Sarah Isgur","Northwestern University",NA,"Harvard Law School",NA,1,25
"148","Scott Stewart","Princeton University",NA,"Stanford University Law School",NA,4,37
"149","Sonya K. Chavez","New Mexico State University","University of New Mexico",NA,NA,NA,NA
"150","Spencer Bassett",NA,NA,NA,NA,NA,NA
"151","Stacy Ludwig","University of Wisconsin",NA,"University of Wisconsin",NA,36,4
"152","Stacy Ludwig","University of Wisconsin",NA,"University of Wisconsin",NA,NA,NA
"153","Stephen Boyd","University of Alabama",NA,"University of Alabama School of Law",NA,24,172
"154","Stephen Cox","Texas A&M University",NA,"University of Houston Law School",NA,52,155
"155","Steven A. Engel","Harvard University","University of Cambridge","Yale Law School",NA,1,33
"156","Steven H. Cook",NA,NA,NA,NA,NA,NA
"157","Sylvia M. Becker","Georgetown University",NA,"Georgetown University Law Center",NA,15,38
"158","Tara Helfman","City University of New York Queens College","University of Cambridge","Yale Law School",NA,1,33
"159","Taylor Owings","Harvard University","London School of Economics","Vanderbilt University Law School",NA,15,140
"160","Thomas Ward","Drew University",NA,"Columbia University School of Law",NA,3,48
"161","Thomas Wheeler","Indiana University",NA,"Indiana University Maurer School of Law",NA,36,82
"162","Timothy J. Shea","Boston College",NA,"Georgetown University Law Center",NA,15,38
"163","Tracy Toulou",NA,NA,"University of New Mexico",NA,NA,NA
"164","Tracy Toulou",NA,NA,"University of New Mexico",NA,115,28
"165","Travis Greaves","University of Tennessee","Georgetown University","South Texas College of Law",NA,148,176
"166","Trevor McFadden","Wheaton College",NA,"University of Virginia School of Law",NA,8,142
"167","William Barr","Columbia University","Columbia University","George Washington University School of Law",NA,21,112
"168","William Levi","Stanford University",NA,"Yale Law School",NA,1,33
"169","William Rinner","University of Notre Dame",NA,"Yale Law School",NA,1,33
"170","Zachary Bolitho","Mount Union College",NA,"The Ohio State University Moritz College of Law",NA,43,115
