"","district","attorney","political_affiliation","federalist_society_tie","heritage_foundation_tie","national_rifle_association_tie","american_center_for_law_and_justice_tie","republican_national_lawyers_association_tie","christian_legal_society_bar_association_tie"
"36","U.S. Attorney for the District of Maine","Halsey Frank",NA,NA,NA,NA,NA,NA,NA
"37","U.S. Attorney for the District of Maryland","Robert K. Hur",NA,1,NA,NA,NA,NA,NA
"38","U.S. Attorney for the District of Massachusetts","Andrew Lelling","Republican",1,NA,NA,NA,NA,NA
"39","U.S. Attorney for the E.D. of Michigan","Matthew J. Schneider",NA,1,NA,NA,NA,NA,NA
"40","U.S. Attorney for the W.D. of Michigan","Thomas L. Leonard III","Republican",NA,NA,NA,NA,NA,NA
"41","U.S. Attorney for the District of Minnesota","Erica MacDonald","Republican",NA,NA,NA,NA,NA,NA
"42","U.S. Attorney for the E.D. of Missouri","Jeffrey Jensen",NA,NA,NA,NA,NA,NA,NA
"43","U.S. Attorney for the W.D. of Missouri","Timothy A. Garrison","Republican",1,NA,NA,NA,1,NA
"44","U.S. Attorney for the District of Montana","Kurt Alme","Republican",NA,NA,NA,NA,NA,NA
"45","U.S. Attorney for the District of Nebraska","Joseph P. Kelly","Republican",NA,NA,NA,NA,NA,NA
"46","U.S. Attorney for the District of Nevada","Nicholas A. Trutanich","Democrat",NA,NA,NA,NA,NA,NA
"47","U.S. Attorney for the District of New Hampshire","Scott W. Murray","Republican",NA,NA,NA,NA,NA,NA
"48","U.S. Attorney for the District of New Mexico","John C. Anderson","Republican",NA,NA,NA,NA,NA,NA
"49","U.S. Attorney for the E.D. of North Carolina","Robert Higdon Jr.",NA,NA,NA,NA,NA,NA,NA
"50","U.S. Attorney for the M.D. of North Carolina","Matthew Martin","Republican",NA,NA,NA,NA,NA,NA
"51","U.S. Attorney for the W.D. of North Carolina","R. Andrew Murray","Republican",NA,NA,NA,NA,NA,NA
"52","U.S. Attorney for the District of North Dakota","Drew Wrigley","Republican",NA,NA,1,NA,NA,NA
"53","U.S. Attorney for the N.D. of Ohio","Justin Herdman",NA,1,NA,NA,NA,NA,NA
"54","U.S. Attorney for the S.D. Ohio","David M. DeVillers","Republican",NA,NA,NA,NA,NA,NA
"55","U.S. Attorney for the E.D. of Oklahoma","Brian Kuester","Republican",NA,NA,NA,NA,NA,NA
"56","U.S. Attorney for the N.D. of Oklahoma","R. Trent Shores","Republican",1,NA,NA,NA,NA,NA
"57","U.S. Attorney for the W.D. of Oklahoma","Timothy J. Downing","Republican",1,NA,NA,NA,NA,NA
"58","U.S. Attorney for the District of Oregon","Billy J. Williams","Republican",NA,NA,NA,NA,NA,NA
"59","U.S. Attorney for the M.D. of Pennsylvania","David Freed","Republican",NA,NA,NA,NA,NA,NA
"60","U.S. Attorney for the W.D. of Pennsylvania","Scott Brady",NA,NA,NA,NA,NA,NA,NA
"61","U.S. Attorney for the E.D. of Pennsylvania","William M. McSwain","Republican",1,NA,NA,NA,NA,NA
"62","U.S. Attorney for the District of Puerto Rico","W. Stephen Muldrow",NA,NA,NA,NA,NA,NA,NA
"63","U.S. Attorney for the District of Rhode Island","Aaron L. Weisman","Republican",NA,NA,NA,NA,NA,NA
"64","U.S. Attorney for the District of South Carolina","Sherri Lydon","None",NA,NA,NA,NA,NA,NA
"65","U.S. Attorney for the District of South Carolina","Peter M. McCoy Jr.","Republican",NA,NA,1,NA,NA,NA
"66","U.S. Attorney for the District of South Dakota","Ron A. Parsons Jr.","Republican",NA,NA,NA,NA,NA,NA
"67","U.S. Attorney for the E.D. of Tennessee","Doug Overbey","Republican",NA,NA,NA,NA,NA,NA
"68","U.S. Attorney for the M.D. of Tennessee","Donald Q. Cochran",NA,1,NA,NA,NA,NA,NA
"69","U.S. Attorney for the W.D. of Tennessee","D. Michael Dunavant","None",NA,NA,NA,NA,NA,NA
"70","U.S. Attorney for the E.D. of Texas","Joseph D. Brown","Republican",NA,NA,1,NA,NA,NA
"71","U.S. Attorney for the N.D. of Texas","Erin Nealy Cox","None",1,NA,NA,NA,NA,NA
"72","U.S. Attorney for the S.D. of Texas","Ryan Patrick","Republican",1,NA,NA,NA,NA,1
"73","U.S. Attorney for the W.D. of Texas","John Bash",NA,1,NA,NA,NA,NA,NA
"74","U.S. Attorney for the District of Utah","John W. Huber",NA,NA,NA,NA,NA,NA,NA
"75","U.S. Attorney for the District of Vermont","Christina E. Nolan","None",NA,NA,NA,NA,NA,NA
"76","U.S. Attorney for the E.D. of Virginia","G. Zachary Terwilliger",NA,1,NA,NA,NA,NA,NA
"77","U.S. Attorney for the W.D. of Virginia","Thomas T. Cullen","None",1,NA,NA,NA,1,NA
"78","U.S. Attorney for the E.D. of Washington","William D. Hyslop",NA,NA,NA,NA,NA,NA,NA
"79","U.S. Attorney for the W.D. of Washington","Brian T. Moran",NA,NA,NA,NA,NA,NA,NA
"80","U.S. Attorney for the N.D. of West Virginia","William Powell","None",NA,NA,1,NA,NA,NA
"81","U.S. Attorney for the S.D. of West Virginia","Michael B. Stuart","Republican",NA,NA,NA,NA,NA,NA
"82","U.S. Attorney for the E.D. of Wisconsin","Matthew Krueger","Republican",1,NA,NA,NA,NA,NA
"83","U.S. Attorney for the W.D. of Wisconsin","Scott Blader","Republican",NA,NA,NA,NA,NA,NA
"84","U.S. Attorney for the District of Wyoming","Mark Klaassen",NA,NA,NA,NA,NA,NA,NA
