,person,position_current,source,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
65,"Peter M. McCoy Jr.","U.S. Attorney for the District of South Carolina",prosecutor,2020/03/30,1978/08/20,42,Charleston,male,"Hampden-Sydney College",NA,NA,"Regent University School of Law",184,102,NA,Republican,NA,NA,NA,NA,1,NA
66,"Ron A. Parsons Jr.","U.S. Attorney for the District of South Dakota",prosecutor,2018/01/05,NA,NA,NA,male,"University of Minnesota",NA,NA,"University of South Dakota School of Law",173,157,0,Republican,NA,NA,NA,NA,NA,NA
67,"Doug Overbey","U.S. Attorney for the E.D. of Tennessee",prosecutor,2017/11/21,1954/12/11,65,NA,male,"Carson Newman University",NA,NA,"University of Tennessee College of Law",111,64,0,Republican,NA,NA,NA,NA,NA,NA
68,"Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee",prosecutor,2017/09/21,NA,NA,NA,male,"Vanderbilt University",NA,NA,"Vanderbilt University Law School",140,15,0,NA,NA,NA,1,NA,NA,NA
69,"D. Michael Dunavant","U.S. Attorney for the W.D. of Tennessee",prosecutor,2017/09/21,1970/01/01,50,Millington,male,"University of Tennessee",NA,NA,"University of Mississippi School of Law",143,92,0,None,NA,NA,NA,NA,NA,NA
70,"Joseph D. Brown","U.S. Attorney for the E.D. of Texas",prosecutor,2018/02/26,1970/01/01,50,Sherman,male,"University of Texas at Austin",NA,NA,"Dedman School of Law",149,43,0,Republican,NA,NA,NA,NA,1,NA
71,"Erin Nealy Cox","U.S. Attorney for the N.D. of Texas",prosecutor,2017/11/17,1970/01/01,50,Pascagoula,female,NA,NA,NA,"University of Texas School of Law",120,15,0,None,NA,NA,1,NA,NA,NA
72,"Ryan Patrick","U.S. Attorney for the S.D. of Texas",prosecutor,2018/01/08,1979/01/01,41,"Washington, D.C.",male,"Baylor University",NA,NA,"South Texas College of Law",176,148,0,Republican,NA,1,1,NA,NA,NA
73,"John Bash","U.S. Attorney for the W.D. of Texas",prosecutor,2017/12/11,NA,NA,NA,male,"Harvard University",NA,NA,"Harvard Law School",25,1,0,NA,NA,NA,1,NA,NA,NA
74,"John W. Huber","U.S. Attorney for the District of Utah",prosecutor,2015/06/01,1967/01/01,53,"Salt Lake City",male,"University of Utah",NA,NA,"University of Utah College of Law",81,58,0,NA,NA,NA,NA,NA,NA,NA
